Dataset,Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
KC1,DS,0.8152836637047164,0.8246584540941558,0.8152836637047164,0.8186841141276245,0.650351234805684,0.41726928180299777,0.4614583333333333,0.433726249024286,0.11977401129943503,0.880225988700565,0.5995602426172805,1558,212,175,150
KC1,LR,0.717922077922078,0.8374937705843871,0.717922077922078,0.7537194640008864,0.8010430041944872,0.320249380954299,0.7170454545454545,0.4420541234624591,0.28192090395480224,0.7180790960451977,0.7163227167766963,1271,499,92,233
KC1,RF,0.8343631806789702,0.8365174641500607,0.8343631806789702,0.8349061075005129,0.8213445364663585,0.46729160995510066,0.4794507575757576,0.470926777646841,0.10056497175141244,0.8994350282485876,0.6200481519530606,1592,178,169,156
KC1,SVM,0.7174413305992253,0.8404534975380779,0.7174413305992253,0.753637375696488,0.7998943353021742,0.32200246193106785,0.7321969696969697,0.4466668307590922,0.2853107344632768,0.7146892655367232,0.7222136491077193,1265,505,87,238
MC1,AdaBoost-DS,0.9893565154481901,0.9907838384219811,0.9893565154481901,0.9899508185438473,0.8604093152000646,0.35931540681540686,0.45476190476190476,0.392272498743087,0.006459320584639236,0.9935406794153607,0.5958902601035951,8613,56,37,31
MC1,AdaBoost-LR,0.8248840763195903,0.9905321740996949,0.8248840763195903,0.8966089773495544,0.9196575632471891,0.035930121986111264,0.7952380952380952,0.06866284273126844,0.17487074166713285,0.8251292583328672,0.8027210548867643,7153,1516,14,54
MC1,AdaBoost-RF,0.9906152277451434,0.9911291646733826,0.9906152277451434,0.9908234486548025,0.8177142930713017,0.43059523809523803,0.4261904761904762,0.42206959706959707,0.004959630911188005,0.995040369088812,0.5852768705103205,8626,43,39,29
MC1,AdaBoost-SVM,0.8333506334190475,0.9907349707502291,0.8333506334190475,0.9018558302439772,0.899078080265299,0.036960289896552964,0.8095238095238095,0.07063709728406638,0.16645370007804777,0.8335462999219523,0.8166143053362468,7226,1443,13,55
MC1,Bagging-DS,0.989241574727196,0.9910255222468807,0.989241574727196,0.9900508019248655,0.8285546659908359,0.36056637806637803,0.4833333333333333,0.41140648567119154,0.006805474533244897,0.993194525466755,0.6363078746938069,8610,59,35,33
MC1,Bagging-LR,0.8807356992511159,0.9907996922239437,0.8807356992511159,0.9295523476127224,0.9011808930428125,0.05087426109884654,0.7952380952380953,0.09550357586449634,0.11858203409063665,0.8814179659093634,0.8274646018614122,7641,1028,14,54
MC1,Bagging-RF,0.9916452381514071,0.9922524714413312,0.9916452381514071,0.9918240362668552,0.9339689160997008,0.5035822510822511,0.4976190476190476,0.48401565754506937,0.004498269896193772,0.9955017301038062,0.647298880657035,8630,39,34,34
MC1,Bagging-SVM,0.8736395186382211,0.9908992440665821,0.8736395186382211,0.9254951925373793,0.8520481615641321,0.048763210809723026,0.8095238095238095,0.09188377736326202,0.12584926920095577,0.8741507307990443,0.8336589489617096,7578,1091,13,55
MC1,DS,0.9886692302248224,0.9904985120193173,0.9886692302248224,0.9894747426069802,0.7597073290213608,0.3376884226884227,0.4428571428571429,0.3762845651080945,0.007036288228102,0.9929637117718979,0.5907917319850979,8608,61,38,30
MC1,LR,0.8808498536045777,0.9908000489509196,0.8808498536045777,0.9296271705786154,0.901030251796412,0.05071147063786781,0.7952380952380953,0.09523231811859303,0.11846682702424809,0.8815331729757518,0.8289965864569112,7642,1027,14,54
MC1,RF,0.9923319991297532,0.9922060910879837,0.9923319991297532,0.9921341444458674,0.925112882629844,0.5408333333333333,0.45476190476190476,0.4801495726495727,0.0034602076124567475,0.9965397923875432,0.6097823439449409,8639,30,37,31
MC1,SVM,0.873294827536494,0.9909006467819543,0.873294827536494,0.9252909216732847,0.8953730679429313,0.04867512103761886,0.8095238095238095,0.09170725257371738,0.1261954231495614,0.8738045768504386,0.833363051686365,7575,1094,13,55
MC2,AdaBoost-DS,0.6173076923076923,0.6290476190476191,0.6173076923076923,0.616038406038406,0.5976388888888888,0.4383333333333333,0.53,0.4759090909090909,0.33472222222222225,0.6652777777777777,0.5478704006392794,54,27,21,23
MC2,AdaBoost-LR,0.6397435897435898,0.6866849816849816,0.6397435897435898,0.6447831471360883,0.7302083333333333,0.5007142857142857,0.6849999999999999,0.5699222999222999,0.3833333333333333,0.6166666666666667,0.6335292101514656,50,31,14,30
MC2,AdaBoost-RF,0.6737179487179488,0.6818226218226219,0.6737179487179488,0.6664722987710603,0.7425347222222223,0.5516666666666666,0.515,0.5146825396825397,0.23194444444444445,0.7680555555555555,0.5911186020454069,62,19,22,22
MC2,AdaBoost-SVM,0.6384615384615384,0.6698351648351648,0.6384615384615384,0.6365976615976615,0.6670833333333334,0.5005555555555555,0.605,0.5326406926406927,0.3458333333333333,0.6541666666666667,0.5922167654940764,53,28,17,27
MC2,Bagging-DS,0.7551282051282051,0.7622144522144522,0.7551282051282051,0.7423903776535355,0.7359375,0.7,0.585,0.606031746031746,0.1486111111111111,0.851388888888889,0.644963930805928,69,12,19,25
MC2,Bagging-LR,0.6705128205128206,0.6931734931734932,0.6705128205128206,0.6641844636271881,0.7170833333333333,0.5785714285714285,0.545,0.5274242424242425,0.2583333333333333,0.7416666666666667,0.5929983798961416,60,21,20,24
MC2,Bagging-RF,0.6807692307692308,0.6655159655159655,0.6807692307692308,0.6683855377508628,0.6725694444444444,0.5133333333333333,0.485,0.4929365079365079,0.20972222222222223,0.7902777777777777,0.5591404317777315,64,17,23,21
MC2,Bagging-SVM,0.6724358974358975,0.7025009250009251,0.6724358974358975,0.6640652690962289,0.7130555555555556,0.5798809523809524,0.5650000000000001,0.5315406815406816,0.2708333333333333,0.7291666666666667,0.5861668362597156,59,22,19,25
MC2,DS,0.6410256410256411,0.6426007326007326,0.6410256410256411,0.6368527550880492,0.6120833333333333,0.45714285714285713,0.52,0.4828787878787878,0.29583333333333334,0.7041666666666667,0.5544635314560126,57,24,21,23
MC2,LR,0.6551282051282051,0.6946814296814297,0.6551282051282051,0.6510566437346623,0.7027083333333334,0.5591269841269841,0.585,0.5334487734487734,0.3083333333333333,0.6916666666666667,0.5928787065171081,56,25,18,26
MC2,RF,0.6961538461538461,0.688957708957709,0.6961538461538461,0.6828632478632478,0.7217708333333334,0.5716666666666667,0.48,0.5077777777777778,0.18611111111111112,0.8138888888888889,0.574203023946865,66,15,23,21
MC2,SVM,0.6474358974358975,0.6846664446664447,0.6474358974358975,0.6388676528150212,0.6736805555555556,0.5488888888888889,0.545,0.5012121212121212,0.2958333333333333,0.7041666666666667,0.5591213102577183,57,24,20,24
MW1,AdaBoost-DS,0.813960113960114,0.830510126347083,0.813960113960114,0.8205673516827211,0.6349788647342995,0.14833333333333334,0.2333333333333333,0.18047619047619048,0.11884057971014492,0.881159420289855,0.31996588339607474,208,28,21,6
MW1,AdaBoost-LR,0.691025641025641,0.8765853414015179,0.691025641025641,0.7490781061055681,0.7116394927536231,0.22103174603174605,0.7166666666666666,0.33254262077791485,0.3105072463768116,0.6894927536231884,0.6896795240954793,163,73,8,19
MW1,AdaBoost-RF,0.8742165242165243,0.8795673471827318,0.8742165242165243,0.8721213108213901,0.6594051932367149,0.45999999999999996,0.3833333333333333,0.385,0.06829710144927537,0.9317028985507246,0.4852726456905274,220,16,17,10
MW1,AdaBoost-SVM,0.7487179487179487,0.86945177223686,0.7487179487179487,0.7923663748280878,0.6645078502415458,0.23305555555555557,0.6,0.33310245310245307,0.23333333333333334,0.7666666666666667,0.6217732532186244,181,55,11,16
MW1,Bagging-DS,0.8290598290598291,0.8482980907980908,0.8290598290598291,0.8369640184678945,0.6514341787439613,0.29166666666666663,0.3333333333333333,0.3063492063492063,0.11123188405797102,0.8887681159420289,0.42217705840195796,210,26,19,8
MW1,Bagging-LR,0.7373219373219373,0.8485178758862968,0.7373219373219373,0.7798355825109465,0.6801630434782608,0.18365079365079365,0.4666666666666666,0.26017316017316017,0.2289855072463768,0.7710144927536232,0.5075141738556372,182,54,15,12
MW1,Bagging-RF,0.8441595441595442,0.8611562540773067,0.8441595441595442,0.848284414940679,0.7357035024154589,0.33095238095238094,0.4,0.3388888888888889,0.10271739130434783,0.8972826086956521,0.4729486094823835,212,24,17,10
MW1,Bagging-SVM,0.7410256410256411,0.8541199808962967,0.7410256410256411,0.7835575133540034,0.6360054347826087,0.2217857142857143,0.5,0.30069930069930073,0.22952898550724637,0.7704710144927536,0.5089885400538661,182,54,14,13
MW1,DS,0.8101139601139602,0.8521405899380727,0.8101139601139602,0.8258065556718039,0.6167874396135266,0.23452380952380952,0.3833333333333333,0.28134920634920635,0.14003623188405795,0.859963768115942,0.48096839126245516,203,33,17,10
MW1,LR,0.7371794871794872,0.8535124256834783,0.7371794871794872,0.7809922207643483,0.663888888888889,0.20607142857142854,0.5,0.2870707070707071,0.23351449275362318,0.7664855072463768,0.5266798824055406,181,55,14,13
MW1,RF,0.8519943019943019,0.8495324752975254,0.8519943019943019,0.8486030072373113,0.7253623188405797,0.2583333333333333,0.31666666666666665,0.2785714285714286,0.08550724637681159,0.9144927536231885,0.38341869119237715,216,20,19,8
MW1,SVM,0.7297720797720798,0.8561912077804189,0.7297720797720798,0.7745631169771297,0.6398852657004831,0.22273809523809524,0.4833333333333333,0.2858802308802309,0.2414855072463768,0.7585144927536231,0.5312538064817531,179,57,14,13
PC1,AdaBoost-DS,0.8748426508700481,0.8874924511606945,0.8748426508700481,0.8803783038565897,0.7383659433922822,0.2944047619047619,0.35952380952380947,0.31987096237096235,0.0786215978928885,0.9213784021071115,0.5049340021453217,621,53,39,22
PC1,AdaBoost-LR,0.7293409848204369,0.9136074816297622,0.7293409848204369,0.7874611431942313,0.8034224883983445,0.2071836161976841,0.8023809523809524,0.3269319055260809,0.2773266022827041,0.7226733977172959,0.741509549712631,487,187,12,49
PC1,AdaBoost-RF,0.8938541281007035,0.9013499291780306,0.8938541281007035,0.8964315643123056,0.7642687298800117,0.37277777777777776,0.4404761904761904,0.3954112554112554,0.06525460930640913,0.934745390693591,0.5705629743941506,630,44,34,27
PC1,AdaBoost-SVM,0.7673454276194003,0.908692667396806,0.7673454276194003,0.8156044469498941,0.8445166499435596,0.2235981092388415,0.7357142857142857,0.3419976843080291,0.22993854258121157,0.7700614574187884,0.739388373232581,519,155,16,45
PC1,Bagging-DS,0.872102924842651,0.8941767085808865,0.872102924842651,0.8812818297097268,0.7736652870103266,0.3016522366522366,0.4428571428571428,0.3556457268221974,0.08902546093064091,0.9109745390693591,0.5765181565856461,614,60,34,27
PC1,Bagging-LR,0.8039985190670123,0.9146275891137983,0.8039985190670123,0.842134003689871,0.8595269451064007,0.2654229323308271,0.7523809523809524,0.39105098605098604,0.19150570676031606,0.8084942932396839,0.7740214574176068,545,129,15,46
PC1,Bagging-RF,0.8884487226952981,0.8974720798731253,0.8884487226952981,0.8903490001799567,0.8529443120531794,0.36556610056610056,0.39285714285714285,0.3557509844816346,0.0666812993854258,0.9333187006145742,0.5246044800058695,629,45,37,24
PC1,Bagging-SVM,0.8148648648648649,0.9128277381021148,0.8148648648648649,0.8491506332488743,0.8043733538191397,0.27255821320062806,0.719047619047619,0.39257151036098403,0.17662423178226513,0.8233757682177348,0.7524984132862259,555,119,17,44
PC1,DS,0.8585523880044429,0.8790812548356775,0.8585523880044429,0.8676580617869298,0.615335611856683,0.23714285714285716,0.32857142857142857,0.27340120663650075,0.09343722563652326,0.9065627743634768,0.46467071636291246,611,63,41,20
PC1,LR,0.8080895964457608,0.9169929555981946,0.8080895964457608,0.8451331962989178,0.8634249968644173,0.27070769100180864,0.7690476190476191,0.39877496221889813,0.1885206321334504,0.8114793678665496,0.7767601520095914,547,127,14,47
PC1,RF,0.8992410218437616,0.9003231265653803,0.8992410218437616,0.8982335986446003,0.8470797274133535,0.40388888888888885,0.39285714285714285,0.3823160173160173,0.05493854258121159,0.9450614574187884,0.52688597993115,637,37,37,24
PC1,SVM,0.8108293224731581,0.9103295522277606,0.8108293224731581,0.8459056741014852,0.8398626614825033,0.26254187333134704,0.7023809523809523,0.3802419510314247,0.1795654082528534,0.8204345917471466,0.7432164119486665,553,121,18,43
PC2,AdaBoost-DS,0.9725592841163311,0.9812770816341416,0.9725592841163311,0.976557984843437,0.5905175583747012,0.08249999999999999,0.2,0.11523809523809522,0.018964883250597538,0.9810351167494025,0.23128983331251546,1449,28,13,3
PC2,AdaBoost-LR,0.8298568232662193,0.9833783750640988,0.8298568232662193,0.8960473332616526,0.8285047802904947,0.029611218562438073,0.45,0.05489295316406699,0.1666161059018202,0.8333838940981797,0.4531373731260451,1231,246,8,8
PC2,AdaBoost-RF,0.982586129753915,0.9806659551577432,0.982586129753915,0.9814948120324575,0.6849191027762457,0.05333333333333333,0.1,0.06857142857142857,0.008140283140283141,0.9918597168597169,0.132412364378161,1465,12,14,2
PC2,AdaBoost-SVM,0.8104340044742729,0.9847755591968784,0.8104340044742729,0.8849497426687144,0.7937752803824233,0.0340638761466746,0.6,0.06412783835056508,0.1876264019121162,0.8123735980878838,0.6032324081238442,1200,277,6,10
PC2,Bagging-DS,0.9758836689038033,0.9823294348227499,0.9758836689038033,0.9787146051335214,0.6516432248575106,0.095,0.25,0.13523809523809524,0.016257584114726973,0.983742415885273,0.2974438597429294,1453,24,12,4
PC2,Bagging-LR,0.896814317673378,0.985620285084004,0.896814317673378,0.936333469668786,0.8095238095238095,0.061920426065162903,0.6,0.11101591361182153,0.1002390145247288,0.8997609854752712,0.601130582166902,1329,148,6,10
PC2,Bagging-RF,0.9805771812080538,0.9839139479869707,0.9805771812080538,0.9820011424455937,0.8586527854384997,0.2,0.3,0.2333333333333333,0.012198933627505057,0.987801066372495,0.33173352099460474,1459,18,11,5
PC2,Bagging-SVM,0.9182595078299777,0.9842982028555107,0.9182595078299777,0.9481701888301839,0.777559064166207,0.06436410811410812,0.5,0.1122965922965923,0.07720628792057363,0.9227937120794264,0.5468180376400349,1363,114,8,8
PC2,DS,0.9725324384787472,0.9812498211372456,0.9725324384787472,0.9765050309400642,0.5905129619415334,0.07083333333333333,0.2,0.10333333333333332,0.018974076116933258,0.9810259238830668,0.23110354404506017,1449,28,13,3
PC2,LR,0.8988232662192394,0.984841169604848,0.8988232662192394,0.9373230045039136,0.8024200220628792,0.0571006771006771,0.55,0.10215114662785951,0.09754090825519397,0.9024590917448061,0.5710247825921766,1333,144,7,9
PC2,RF,0.9805816554809844,0.9805990634052002,0.9805816554809844,0.9804661332509147,0.8877056903842618,0.075,0.15,0.1,0.010167310167310168,0.9898326898326898,0.16586791350087665,1462,15,14,2
PC2,SVM,0.9209395973154363,0.9851591396581437,0.9209395973154363,0.9497665183189842,0.8410139731568304,0.07306929181929181,0.55,0.12676046176046177,0.07517466446037875,0.9248253355396212,0.6113267360923219,1366,111,7,9
PC3,AdaBoost-DS,0.8389574645537948,0.8470109380387878,0.8389574645537948,0.8418771092023082,0.7609224833371095,0.3693370681605976,0.4197802197802198,0.38835645853198036,0.1009557560137457,0.8990442439862543,0.5469574504590108,864,97,80,58
PC3,AdaBoost-LR,0.7024020016680568,0.8688720392193886,0.7024020016680568,0.7511576735070036,0.7753060862033156,0.2686800632665429,0.7736263736263737,0.39812726783398267,0.30807560137457046,0.6919243986254295,0.7280299314342168,665,296,31,107
PC3,AdaBoost-RF,0.8471226021684737,0.8591951528489801,0.8471226021684737,0.8512690474527294,0.8158254385219591,0.3961020822031052,0.4923076923076922,0.4342460368372009,0.10201890034364261,0.8979810996563573,0.604886041575251,863,98,70,68
PC3,AdaBoost-SVM,0.7060550458715597,0.8683694460907448,0.7060550458715597,0.753734336034458,0.7774499877270495,0.2711725304694966,0.7675824175824176,0.3996313983767409,0.3028994845360825,0.6971005154639175,0.7276213213016796,670,291,32,106
PC3,Bagging-DS,0.8234862385321101,0.8441155485440686,0.8234862385321101,0.8322402131649838,0.776736888004607,0.34668317793317793,0.43461538461538457,0.38266297723216225,0.12071520618556701,0.879284793814433,0.5725746165330772,845,116,78,60
PC3,Bagging-LR,0.7351542952460384,0.8649769271081421,0.7351542952460384,0.7758247101706433,0.8085579637287111,0.2910852104551795,0.7164835164835165,0.4112053763722905,0.2623281786941581,0.737671821305842,0.7232139551067516,709,252,39,99
