Dataset,Model,Fold,Train Size,Test Size,Train Size after SMOTE,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
CM1,RF,10,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.7208333333333334,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,DS,10,310,34,544,0.8235294117647058,0.8585434173669467,0.8235294117647058,0.838133874239351,0.6833333333333333,0.3333333333333333,0.5,0.4,0.13333333333333333,0.8666666666666667,0.6341463414634146,26,4,2,2
CM1,SVM,10,310,34,544,0.7058823529411765,0.7952488687782805,0.7058823529411765,0.7443977591036415,0.575,0.125,0.25,0.16666666666666666,0.23333333333333334,0.7666666666666667,0.3770491803278689,23,7,3,1
CM1,LR,10,310,34,544,0.7647058823529411,0.8074229691876752,0.7647058823529411,0.7841784989858012,0.5833333333333334,0.16666666666666666,0.25,0.2,0.16666666666666666,0.8333333333333334,0.3846153846153846,25,5,3,1
CM1,AdaBoost-RF,10,310,34,544,0.7352941176470589,0.7606490872210953,0.7352941176470589,0.7477567298105683,0.6791666666666667,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,25,5,4,0
CM1,AdaBoost-DS,10,310,34,544,0.8235294117647058,0.8925339366515838,0.8235294117647058,0.846638655462185,0.7916666666666667,0.375,0.75,0.5,0.16666666666666666,0.8333333333333334,0.7894736842105262,25,5,1,3
CM1,AdaBoost-SVM,10,310,34,544,0.7352941176470589,0.8011204481792716,0.7352941176470589,0.764424430059105,0.5666666666666667,0.14285714285714285,0.25,0.18181818181818182,0.2,0.8,0.38095238095238093,24,6,3,1
CM1,AdaBoost-LR,10,310,34,544,0.6176470588235294,0.7411764705882353,0.6176470588235294,0.6737967914438503,0.5625,0.0,0.0,0.0,0.3,0.7,0.0,21,9,4,0
CM1,Bagging-RF,10,310,34,544,0.8235294117647058,0.8585434173669467,0.8235294117647058,0.838133874239351,0.6916666666666667,0.3333333333333333,0.5,0.4,0.13333333333333333,0.8666666666666667,0.6341463414634146,26,4,2,2
CM1,Bagging-DS,10,310,34,544,0.7058823529411765,0.8323529411764706,0.7058823529411765,0.7525676937441643,0.6458333333333334,0.2,0.5,0.2857142857142857,0.26666666666666666,0.7333333333333333,0.5945945945945945,22,8,2,2
